股票名称,股票涨跌幅1,股票涨跌幅2,股票涨跌幅3,股票涨跌幅4,股票涨跌幅5,股票涨跌幅6,股票涨跌幅7,总涨跌幅,
七彩化学_1300758.csv,-3.898,-4.8535,-3.0841,-0.3978,-0.2645,-1.9663,-2.7527,-17.2169,
中关村_1000931.csv,-3.4884,-5.2863,-0.765,-0.1092,0.0,-0.2179,-2.2364,-12.1032,
中联重科_1000157.csv,-1.6194,-3.8911,0.0,-0.3876,-3.0075,-0.1876,-0.9294,-10.022599999999999,
凤凰B股_0900916.csv,-0.1695,-0.3378,-0.8375,0.0,-0.995,-0.8224,-0.8157,-3.9779,
华电重工_0601226.csv,-5.3743,-4.5788,-0.7273,-1.61,-1.4109,-0.8741,-1.0381,-15.613499999999998,
南京港_1002040.csv,-4.6863,-2.5542,-1.5244,-0.5307,-1.1985,-1.4032,-3.9035,-15.800799999999999,
天地数码_1300743.csv,-1.5141,-3.0231,-5.0636,-8.7542,-10.0,-10.0,-7.6923,-46.04730000000001,
天齐锂业_1002466.csv,-2.8563,-2.234,-1.7898,-0.1729,-1.0832,-0.9879,-1.556,-10.6801,
宁波海运_0600798.csv,-3.1891,-4.9784,-2.5316,-1.6598,-0.823,-0.2053,-1.8145,-15.201700000000002,
安靠智电_1300617.csv,-2.96,-3.4003,-0.2697,-0.8028,-2.169,-0.1494,-0.7781,-10.529300000000001,
川投能源_0600674.csv,-0.8989,-1.4396,-0.3311,-0.1103,-0.5482,-0.2188,-3.3827,-6.9296,
悦心健康_1002162.csv,-1.737,-6.0606,-0.6944,-3.5714,-3.8627,-3.1185,-3.6072,-22.6518,
新华联_1000620.csv,-1.9737,-4.8017,-0.2083,-2.439,-1.7964,-0.1992,-0.3968,-11.815100000000001,
新宙邦_1300037.csv,-0.9207,-4.2178,0.0,-0.458,-2.819,-1.1368,-0.256,-9.808300000000003,
旭升股份_0603305.csv,-2.1053,-4.3403,-0.0694,-3.2886,-2.9632,-0.9994,-1.2102,-14.976400000000002,
杭氧股份_1002430.csv,-3.7821,-4.5487,-0.9299,-0.2853,-1.8894,-0.7639,-3.8718,-16.071099999999998,
杭齿前进_0601177.csv,-5.1595,-0.4669,-1.5625,-2.2462,-0.1794,-0.8007,-1.4899,-11.9051,
桂冠电力_0600236.csv,-0.8621,-0.8547,0.0,-0.6791,-0.6745,-0.1684,-1.1647,-4.4035,
永和智控_1002795.csv,-1.938,-2.2727,-0.3147,-2.6348,-0.1224,-0.8495,-0.8424,-8.974499999999999,
永安林业_1000663.csv,-1.7981,-5.9818,-0.2594,-1.027,-2.1357,0.0,-0.6242,-11.826199999999998,
津滨发展_1000897.csv,-1.9608,-1.9231,-1.1407,-2.5926,-0.369,-0.7326,-3.5336,-12.2524,
海澜之家_0600398.csv,-1.8079,-1.5573,-0.3326,-1.9565,-2.2317,-0.843,-1.1458,-9.874799999999999,
环旭电子_0601231.csv,-3.2491,-2.5334,-0.4205,-0.2098,-1.3793,-3.01,-2.7958,-13.5979,
申华控股_0600653.csv,0.0,-5.4152,0.0,-1.4235,-2.0906,-0.3472,-1.7065,-10.983,
界龙实业_0600836.csv,-2.7944,-4.7529,-0.1898,-0.3781,-2.037,-0.1848,-1.8149,-12.1519,
粤电力B_1200539.csv,-0.7299,-1.7921,0.0,-0.3571,-0.7092,0.0,0.0,-3.5883000000000003,
航天工程_0603698.csv,-0.2516,-1.731,0.0,-2.6949,-1.4231,-0.0948,-3.0331,-9.2285,
锦投B股_0900914.csv,-0.5666,-0.8427,-0.6512,0.0,-0.1857,-0.6458,-0.5505,-3.4425000000000003,
长方集团_1300301.csv,-0.4367,-4.9793,-0.207,-4.5455,-0.5894,-1.7375,0.0,-12.4954,
长海股份_1300196.csv,-1.354,-2.6365,-0.2817,-0.2809,-0.1869,-0.7421,0.0,-5.482099999999999,
